,Transaction_date,Name,Gender,Email,City,Product_id,Amount_spent
0,2021-01-20,William Green,M,beverly88@hotmail.com,Smithfort,83275104,73.69
1,2021-04-29,Carl Medina,F,justincohen@hotmail.com,Johnsonfort,00985413,55.15
2,2021-02-17,Justin Cantu,F,patricia11@phelps-cox.com,Michellebury,48884129,74.34
3,2021-02-27,Haley Brown,F,amandaquinn@yahoo.com,South Derrickview,34580134,70.52
4,2021-07-24,Robert Stone,M,john39@davis.com,Lake Markland,46939012,40.59
5,2021-03-31,Jason Miller,M,zflynn@ramirez.biz,Allenberg,30194311,64.39
6,2021-07-08,Michael Walker,F,wallaceann@hotmail.com,North Markchester,22220035,96.25
7,2021-06-15,Jason Casey,M,elizabeth32@yahoo.com,Wademouth,46436481,99.64
8,2021-04-14,Denise Taylor,M,sharonbenitez@yahoo.com,Carrieport,37079673,21.74
9,2021-06-21,Thomas Hernandez,M,bradfordjohn@gmail.com,Port Donnaborough,19897912,18.55
10,2021-05-26,Justin Norris,F,evansryan@hotmail.com,West Davidborough,62763400,36.51
11,2021-02-24,Joseph Harris,M,diana75@yahoo.com,Arianatown,38919749,50.87
12,2021-02-19,Laura Moore,M,morgantammy@hotmail.com,Kimfurt,53276568,69.88
13,2021-08-06,Carrie Washington,M,lisabrown@gmail.com,West Jonathan,16510289,54.57
14,2021-01-30,Chase Shepherd,F,ryancraig@hotmail.com,Adamsside,12104307,36.8
15,2021-06-23,Ann Henderson,M,christianschneider@yahoo.com,North Ashley,91277299,45.38
16,2021-02-27,Timothy Jennings,M,wardcandice@gmail.com,Judyburgh,03968208,53.1
17,2021-07-14,Nicholas Marks,F,joycebarbara@gmail.com,Lake Duaneberg,89129395,27.91
18,2021-05-31,Andrew Bennett,F,george69@duffy.org,Schroederburgh,95832838,28.7
19,2021-07-16,Jaime Fox,M,jimmycross@gmail.com,Port Ashleyland,33997117,81.32
20,2021-06-28,Linda Stewart,F,johnrice@gray.com,Michaelburgh,97157946,62.24
21,2021-03-27,Brent Young,M,smithrobert@gamble-valdez.com,West Alexandraside,21504754,92.81
22,2021-08-09,Tracy Lewis,F,obrown@rowland-harmon.info,Pennyfort,66442134,99.14
23,2021-07-31,Joshua Hahn,M,paynebarbara@gmail.com,Ashleyborough,88005959,84.8
24,2021-06-09,Michael Fischer,M,cheyenneday@kennedy.com,North Randyberg,28748601,14.74
25,2021-01-29,Brian Orr,F,raymondandrew@fox.biz,Michaelchester,03183069,40.69
26,2021-04-21,Donna Wilson,F,tapiamelissa@yahoo.com,Port Jefferyshire,35731030,44.63
27,2021-02-21,Michele Jordan,M,ashley98@yahoo.com,Ashleyborough,74394265,36.9
28,2021-01-27,Jennifer Schneider,F,watsonrobert@yahoo.com,Billyton,37108946,37.31
29,2021-06-08,Tonya Baker,F,jonathanday@hotmail.com,Port Emily,18072891,4.83
30,2021-07-10,Carlos Carr,M,mcclaincarol@hotmail.com,Port Vernon,28432630,42.38
31,2021-01-18,Suzanne Doyle,F,brandonhooper@crawford.biz,North Danny,74731176,64.92
32,2021-06-12,Ralph Schroeder,M,cynthia12@hotmail.com,Port Marthaberg,88756004,59.1
33,2021-07-08,Laura Mccarthy,M,pmiller@garcia.com,Deborahmouth,15991966,89.2
34,2021-05-21,Diane Smith,M,joseknox@long-harris.biz,East Michael,28208709,52.51
35,2021-05-17,Paul Jackson,M,montgomerytheresa@abbott.org,East Josefurt,87557916,98.23
36,2021-02-23,Robert Rodriguez,M,smitheric@wright.com,Ericaside,27471630,3.4
37,2021-03-01,John Armstrong,F,lori77@hotmail.com,Coxtown,11316206,16.23
38,2021-03-06,Dean Archer,F,jonathan90@hotmail.com,Michelleburgh,29221639,43.64
39,2021-03-19,Michael Oconnor,F,zhangmichael@hughes-johnson.com,Port Samantha,61009257,14.14
40,2021-01-03,Austin Thompson,M,jenkinswilliam@hotmail.com,Rodneyville,73459187,49.47
41,2021-05-29,Christopher Smith,M,haneydean@gonzalez.com,Port Dianefurt,29296163,24.42
42,2021-04-05,Patrick Hogan,F,cindy50@stevens.info,South Virginiaburgh,32190571,8.2
43,2021-08-08,Mrs. Ashley Gibson,F,craigchristopher@welch.net,Marystad,96561997,39.55
44,2021-06-21,Gina Gomez,M,nferguson@jackson-hall.com,Port Anthonytown,79026031,59.1
45,2021-03-28,John Smith,F,karahuff@lara.com,Letown,97894827,77.2
46,2021-04-20,Ian Myers,F,farrellstephanie@madden.com,Curtiston,84264558,81.77
47,2021-03-20,Natalie Collins,F,eaustin@avery.com,Lewisshire,24251655,36.3
48,2021-01-26,Amber Hull,F,sarahrobles@murray.net,Williamsberg,41472040,61.43
49,2021-04-15,Joseph Hill,M,owall@molina-thomas.info,Jimenezport,08696045,29.93
50,2021-03-13,Victor Murphy,M,harriscrystal@gmail.com,South Eric,87164473,62.6
51,2021-07-08,Michelle Clark,M,dayanthony@yahoo.com,Welchfort,87793475,5.39
52,2021-02-11,Joann Smith,M,dudleylori@frederick-johnson.com,North Brooke,69447105,5.52
53,2021-01-11,Charles Williams,M,travisharris@yahoo.com,West Christopherchester,21843334,97.62
54,2021-01-05,Jodi Roman,M,rcampbell@yahoo.com,West Luis,35590781,52.78
55,2021-07-11,Michael Savage,M,vfischer@hotmail.com,Lake Dennis,47552814,82.1
56,2021-04-09,Susan Holt,F,emartin@parker-sanders.com,Lindafort,60047397,79.34
57,2021-06-07,Jacob Cervantes,F,glowe@yahoo.com,Barnesborough,44203276,55.92
58,2021-08-09,Sara Bradley,M,rachael72@huff.net,Leroychester,16394094,70.23
59,2021-07-11,Mrs. Ashley Stephens,M,bowmanmanuel@yahoo.com,Lindseyfurt,44723149,74.98
60,2021-05-28,Tyler Schneider,F,james25@hotmail.com,South Nancyport,62815093,38.4
61,2021-02-28,Misty Parker,F,pratterin@zimmerman-richardson.info,East Troy,08341136,67.67
62,2021-08-07,Connor Schaefer,F,wruiz@gmail.com,Williamshaven,29519323,97.75
63,2021-04-27,Brian Powell,F,lwoods@gmail.com,South Susan,64386706,53.71
64,2021-06-29,Catherine George DDS,M,watsonkyle@gmail.com,Port Michelleburgh,75493677,61.12
65,2021-04-26,Travis Burnett,M,rmartinez@hotmail.com,East Christieport,42596318,7.42
